TradeID,TransactionCodeOverrideDescription,TradeDate,SettledDate,SuperSheetDate,TradeAmount,System,DealerNum,DealerBranchBranchCode,RepCode,FirmId,FirmName,OfficeAddressLine1,OfficeCity,OfficeRegionRefCode,OfficePostalCode,PersonFirstName,PersonLastName,LineOfBusiness,Channel,Region,Territory,ProductNasdaqSymbol,ProductName,AccountTANumber,AccountId,ExternalAccountNumber,HoldingId,HoldingExternalAccountNumber,HoldingName
33615,Redemption,4-Sep-19,6-Sep-19,4-Sep-19,308.53,MSSB,15,970,97,31478,Morgan Stanley Smith Barney LLC,HARBORSIDE FINANCIAL CENTER,JERSEY CITY,US-NJ,7311,Morgan Stanley Smith Barney LLC,House Account,Mutual Fund,Broker Dealer,Northeast,Carroll,ARSQX,Aristotle Value Equity Fund - Class I,2.39E+11,58154,,66370,,Morgan Stanley Smith Barney LLC
30023,Redemption,24-Jul-19,25-Jul-19,26-Jul-19,302.64,UMB,DLJP,P3M,CVC,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Gary,Ran,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413005745,50176,P3M431364,57303,P3M431364,PERSHING LLC
31491,Redemption,26-Aug-19,27-Aug-19,28-Aug-19,300,UMB,DLJP,P3M,CVC,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Gary,Ran,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413013448,51134,P3M103229,58261,P3M103229,PERSHING LLC
29504,Redemption,9-Jul-19,9-Jul-19,9-Jul-19,286.16,FIDELITY,226COR,BVD-BPD,MIC,30820,"Mill Creek Capital Advisors, LLC",161 WASHINGTON ST,CONSHOHOCKEN,US-PA,19428-2083,mill,creek,Mutual Fund,RIA,Northeast,Sindici,ARSFX,Aristotle International Equity Fund - Class I,BVDBPDMIC,6122,,6346,,Account made from rep code combination: BVD/BPD/MIC
32612,Redemption,23-Sep-19,23-Sep-19,23-Sep-19,282.89,FIDELITY,226PLAN,700445,56930,56101,Fidelity Workplace Investing,82 DEVONSHIRE ST,BOSTON,US-MA,02109-3605,,Advisor-for-plan-56930,Mutual Fund,Broker Dealer,House,House,ARSBX,Aristotle Small Cap Equity Fund - Class I,56930,24827,,31883,,RADY CHILDRENS SD
33534,Redemption,21-Aug-19,23-Aug-19,21-Aug-19,276.07,MSSB,15,970,97,31478,Morgan Stanley Smith Barney LLC,HARBORSIDE FINANCIAL CENTER,JERSEY CITY,US-NJ,7311,Morgan Stanley Smith Barney LLC,House Account,Mutual Fund,Broker Dealer,Northeast,Carroll,ARSBX,Aristotle Small Cap Equity Fund - Class I,1.69E+11,57839,,66055,,Morgan Stanley Smith Barney LLC
32728,Redemption,25-Sep-19,25-Sep-19,25-Sep-19,267.8,FIDELITY,226BWM,G12203538,G12203538,57742,AMG NATIONAL TRUST BANK,6295 GREENWOOD PLAZA BLVD,GREENWOOD VILLAGE,US-CO,80111-4908,AMG NATIONAL TRUST BANK,HOUSE ACCOUNT,Mutual Fund,RIA,West,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,671358380,36766,,43842,,
30306,Redemption,26-Jul-19,29-Jul-19,30-Jul-19,265.46,UMB,DLJP,P3M,CVC,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Gary,Ran,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413010087,50892,P3M380769,58019,P3M380769,PERSHING LLC
33448,Redemption,14-Aug-19,16-Aug-19,14-Aug-19,263.1,MSSB,15,970,97,31478,Morgan Stanley Smith Barney LLC,HARBORSIDE FINANCIAL CENTER,JERSEY CITY,US-NJ,7311,Morgan Stanley Smith Barney LLC,House Account,Mutual Fund,Broker Dealer,Northeast,Carroll,ARSQX,Aristotle Value Equity Fund - Class I,2.39E+11,58078,,66294,,Morgan Stanley Smith Barney LLC
29764,Redemption,17-Jul-19,17-Jul-19,17-Jul-19,260.6,FIDELITY,226COR,BVD-BPD,MIC,30820,"Mill Creek Capital Advisors, LLC",161 WASHINGTON ST,CONSHOHOCKEN,US-PA,19428-2083,mill,creek,Mutual Fund,RIA,Northeast,Sindici,ARSFX,Aristotle International Equity Fund - Class I,BVDBPDMIC,6122,,6346,,Account made from rep code combination: BVD/BPD/MIC
